file,full_path,lineno,msg,text,type
arabic_function_words_analyzer.py,arabic_function_words_analyzer.py,13,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_inflection_corrected.py,arabic_inflection_corrected.py,13,unterminated string literal (detected at line 13),"""""""""",unterminated_string
arabic_inflection_rules_engine.py,arabic_inflection_rules_engine.py,33,unterminated string literal (detected at line 33),"""""""""",unterminated_string
arabic_inflection_ultimate.py,arabic_inflection_ultimate.py,34,unterminated string literal (detected at line 34),"""""""""",unterminated_string
arabic_inflection_ultimate_fixed.py,arabic_inflection_ultimate_fixed.py,12,unterminated string literal (detected at line 12),"""""""""",unterminated_string
arabic_interrogative_pronouns_deep_model.py,arabic_interrogative_pronouns_deep_model.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_interrogative_pronouns_enhanced.py,arabic_interrogative_pronouns_enhanced.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_interrogative_pronouns_final.py,arabic_interrogative_pronouns_final.py,16,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_interrogative_pronouns_test_analysis.py,arabic_interrogative_pronouns_test_analysis.py,19,unexpected indent,import numpy as np  # noqa: F401,unexpected_indent
arabic_normalizer.py,arabic_normalizer.py,8,unexpected indent,from dataclasses import dataclass,unexpected_indent
arabic_phoneme_word_decision_tree.py,arabic_phoneme_word_decision_tree.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_phonological_foundation.py,arabic_phonological_foundation.py,25,unterminated string literal (detected at line 25),"""""""""",unterminated_string
arabic_pronouns_analyzer.py,arabic_pronouns_analyzer.py,20,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_pronouns_deep_model.py,arabic_pronouns_deep_model.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_relative_pronouns_analyzer.py,arabic_relative_pronouns_analyzer.py,19,unexpected indent,import json  # noqa: F401,unexpected_indent
arabic_relative_pronouns_deep_model.py,arabic_relative_pronouns_deep_model.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_relative_pronouns_deep_model_simplified.py,arabic_relative_pronouns_deep_model_simplified.py,17,unexpected indent,import torch.nn as nn,unexpected_indent
arabic_test.py,arabic_test.py,6,unterminated string literal (detected at line 6),"""""""""",unterminated_string
arabic_vector_engine.py,arabic_vector_engine.py,13,unterminated string literal (detected at line 13),"""""""""",unterminated_string
arabic_verb_conjugator.py,arabic_verb_conjugator.py,32,unterminated string literal (detected at line 32),"""""""""",unterminated_string
ast_validator.py,ast_validator.py,10,unexpected indent,import os,unexpected_indent
batch_syntax_fixer.py,batch_syntax_fixer.py,8,unexpected indent,import re,unexpected_indent
citation_standardization_system.py,citation_standardization_system.py,19,unexpected indent,import json,unexpected_indent
complete_all_13_engines.py,complete_all_13_engines.py,20,unterminated string literal (detected at line 20),"""""""""",unterminated_string
complete_arabic_phonological_coverage.py,complete_arabic_phonological_coverage.py,17,unterminated string literal (detected at line 17),"""""""""",unterminated_string
complete_arabic_phonological_foundation.py,complete_arabic_phonological_foundation.py,19,unterminated string literal (detected at line 19),"""""""""",unterminated_string
complete_arabic_tracer.py,complete_arabic_tracer.py,15,unterminated string literal (detected at line 15),"""""""""",unterminated_string
complex_word_analysis_demo.py,complex_word_analysis_demo.py,18,unexpected indent,from advanced_arabic_phonology_system import (),unexpected_indent
comprehensive_arabic_phonological_system.py,comprehensive_arabic_phonological_system.py,23,unexpected indent,import logging  # noqa: F401,unexpected_indent
comprehensive_encoding_fix.py,comprehensive_encoding_fix.py,11,unexpected indent,import subprocess,unexpected_indent
comprehensive_engine_analysis.py,comprehensive_engine_analysis.py,14,unexpected indent,import os  # noqa: F401,unexpected_indent
comprehensive_phoneme_engine.py,comprehensive_phoneme_engine.py,17,unexpected indent,import json  # noqa: F401,unexpected_indent
comprehensive_progressive_system.py,comprehensive_progressive_system.py,27,unterminated string literal (detected at line 27),"""""""""",unterminated_string
create_working_engines.py,create_working_engines.py,12,unexpected indent,import logging  # noqa: F401,unexpected_indent
debug_output.py,debug_output.py,10,unexpected indent,from nlp.syllable.engine import SyllabicUnitEngine  # noqa: F401,unexpected_indent
debug_test.py,debug_test.py,10,unexpected indent,"from nlp.syllable.engine import SyllabicUnitEngine  # noqa: F401,",unexpected_indent
emergency_fstring_fixer.py,emergency_fstring_fixer.py,8,unexpected indent,import re,unexpected_indent
engine_fix_guide.py,engine_fix_guide.py,14,unexpected indent,def failed_engines_fix_guide():  # type: ignore[no-untyped def],unexpected_indent
enhanced_final_analysis.py,enhanced_final_analysis.py,18,unexpected indent,from arabic_pronouns_analyzer import (),unexpected_indent
enhanced_system_architecture.py,enhanced_system_architecture.py,20,unexpected indent,import asyncio,unexpected_indent
final_comprehensive_comparison.py,final_comprehensive_comparison.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
fix_arrow_comparisons.py,fix_arrow_comparisons.py,8,unexpected indent,"import re,",unexpected_indent
fix_broken_comparisons.py,fix_broken_comparisons.py,8,unexpected indent,import os,unexpected_indent
fix_common_fstring_errors.py,fix_common_fstring_errors.py,8,unexpected indent,import os,unexpected_indent
fix_comparison_operators.py,fix_comparison_operators.py,10,unexpected indent,"from pathlib import Path,",unexpected_indent
fix_empty_imports.py,fix_empty_imports.py,8,unexpected indent,import ast,unexpected_indent
fix_fstring_issues.py,fix_fstring_issues.py,8,unexpected indent,"import re,",unexpected_indent
fix_fstring_syntax.py,fix_fstring_syntax.py,10,unterminated string literal (detected at line 10),"""""""""",unterminated_string
fix_import_data.py,fix_import_data.py,13,unexpected indent,from pathlib import Path,unexpected_indent
fix_logging_config.py,fix_logging_config.py,8,unexpected indent,import logging,unexpected_indent
fix_numeric_comparisons.py,fix_numeric_comparisons.py,10,unexpected indent,import re,unexpected_indent
fix_return_type_arrow.py,fix_return_type_arrow.py,13,unexpected indent,from pathlib import Path,unexpected_indent
fix_syntax_errors.py,fix_syntax_errors.py,13,unexpected indent,import os  # noqa: F401,unexpected_indent
fix_winsurf_issues.py,fix_winsurf_issues.py,17,unexpected indent,import ast  # noqa: F401,unexpected_indent
forensic_audit.py,forensic_audit.py,11,unexpected indent,import os,unexpected_indent
hafez_morphology_reactor.py,hafez_morphology_reactor.py,24,unexpected indent,import re,unexpected_indent
hafez_phonemes.py,hafez_phonemes.py,8,unexpected indent,import re  # noqa: F401,unexpected_indent
hafez_syllables.py,hafez_syllables.py,8,unexpected indent,"from typing import List, Dict, Tuple",unexpected_indent
harakat_engine.py,harakat_engine.py,17,unexpected indent,import json  # noqa: F401,unexpected_indent
hierarchical_demo.py,hierarchical_demo.py,15,unexpected indent,from pathlib import Path,unexpected_indent
integrated_engine.py,integrated_engine.py,18,unexpected indent,import json  # noqa: F401,unexpected_indent
integrated_progressive_system.py,integrated_progressive_system.py,19,unexpected indent,import time,unexpected_indent
interactive_progressive_analyzer.py,interactive_progressive_analyzer.py,30,unexpected indent,import sys  # noqa: F401,unexpected_indent
manual_test_fix.py,manual_test_fix.py,9,trailing comma not allowed without surrounding parentheses,"from pathlib import Path,",unknown
morphology_model.py,morphology_model.py,12,unexpected indent,"from dataclasses import dataclass, field  # noqa: F401",unexpected_indent
phonemes_harakat_analyzer.py,phonemes_harakat_analyzer.py,11,unexpected indent,import json  # noqa: F401,unexpected_indent
